path,species,label_id,source,part
D:\Homework\NC\bigplants_dataset_100_resized\Cocos_nucifera\fruit\Cocos_nucifera_67.jpg,Cocos_nucifera,46,sub,fruit
D:\Homework\NC\bigplants_dataset_100_resized\Alstonia_scholaris\hand\Alstonia_scholaris_96.jpg,Alstonia_scholaris,14,sub,hand
D:\Homework\NC\bigplants_dataset_100_resized\Momordica_charantia\fruit\Momordica_charantia_94.jpg,Momordica_charantia,83,sub,fruit
D:\Homework\NC\bigplants_dataset_100_resized\Calotropis_gigantea\leaf\Calotropis_gigantea_145.jpg,Calotropis_gigantea,35,sub,leaf
D:\Homework\NC\bigplants_dataset_100_resized\Tamarindus_indica\Tamarindus_indica_14.jpg,Tamarindus_indica,98,available,available
D:\Homework\NC\bigplants_dataset_100_resized\Plantago_major\flower\Plantago_major_48.jpg,Plantago_major,93,sub,flower
D:\Homework\NC\bigplants_dataset_100_resized\Psidium_guajava\flower\Psidium_guajava_52.jpg,Psidium_guajava,96,sub,flower
D:\Homework\NC\bigplants_dataset_100_resized\Cissampelos_pareira\Cissampelos_pareira_26.jpg,Cissampelos_pareira,43,available,available
D:\Homework\NC\bigplants_dataset_100_resized\Areca_catechu\Areca_catechu_16.jpg,Areca_catechu,23,available,available
D:\Homework\NC\bigplants_dataset_100_resized\Annona_reticulata\fruit\Annona_reticulata_90.jpg,Annona_reticulata,20,sub,fruit
D:\Homework\NC\bigplants_dataset_100_resized\Annona_muricata\flower\Annona_muricata_66.jpg,Annona_muricata,19,sub,flower
D:\Homework\NC\bigplants_dataset_100_resized\Lantana_camara\flower\Lantana_camara_58.jpg,Lantana_camara,74,sub,flower
D:\Homework\NC\bigplants_dataset_100_resized\Lawsonia_inermis\flower\Lawsonia_inermis_43.jpg,Lawsonia_inermis,75,sub,flower
D:\Homework\NC\bigplants_dataset_100_resized\Eurycoma_longifolia\hand\Eurycoma_longifolia_18.jpg,Eurycoma_longifolia,60,sub,hand
D:\Homework\NC\bigplants_dataset_100_resized\Mangifera_indica\fruit\Mangifera_indica_42.jpg,Mangifera_indica,78,sub,fruit
D:\Homework\NC\bigplants_dataset_100_resized\Calotropis_gigantea\flower\Calotropis_gigantea_82.jpg,Calotropis_gigantea,35,sub,flower
D:\Homework\NC\bigplants_dataset_100_resized\Gloriosa_superba\flower\Gloriosa_superba_90.jpg,Gloriosa_superba,64,sub,flower
D:\Homework\NC\bigplants_dataset_100_resized\Acanthopanax_trifoliatus\Acanthopanax_trifoliatus_2.jpg,Acanthopanax_trifoliatus,1,available,available
D:\Homework\NC\bigplants_dataset_100_resized\Pogostemon_cablin\Pogostemon_cablin_26.jpg,Pogostemon_cablin,95,available,available
D:\Homework\NC\bigplants_dataset_100_resized\Gymnema_sylvestre\hand\Gymnema_sylvestre_62.jpg,Gymnema_sylvestre,65,sub,hand
D:\Homework\NC\bigplants_dataset_100_resized\Eurycoma_longifolia\hand\Eurycoma_longifolia_48.jpg,Eurycoma_longifolia,60,sub,hand
D:\Homework\NC\bigplants_dataset_100_resized\Justicia_gendarussa\hand\Justicia_gendarussa_136.jpg,Justicia_gendarussa,71,sub,hand
D:\Homework\NC\bigplants_dataset_100_resized\Agapanthus_africanus\hand\Agapanthus_africanus_81.jpg,Agapanthus_africanus,5,sub,hand
D:\Homework\NC\bigplants_dataset_100_resized\Allium_cepa\fruit\Allium_cepa_95.jpg,Allium_cepa,10,sub,fruit
D:\Homework\NC\bigplants_dataset_100_resized\Calotropis_gigantea\flower\Calotropis_gigantea_49.jpg,Calotropis_gigantea,35,sub,flower
D:\Homework\NC\bigplants_dataset_100_resized\Artemisia_absinthium\hand\Artemisia_absinthium_124.jpg,Artemisia_absinthium,25,sub,hand
D:\Homework\NC\bigplants_dataset_100_resized\Plumeria_rubra\flower\Plumeria_rubra_65.jpg,Plumeria_rubra,94,sub,flower
D:\Homework\NC\bigplants_dataset_100_resized\Angelica_sinensis\hand\Angelica_sinensis_71.jpg,Angelica_sinensis,18,sub,hand
D:\Homework\NC\bigplants_dataset_100_resized\Acorus_calamus\Acorus_calamus_3.jpg,Acorus_calamus,2,available,available
D:\Homework\NC\bigplants_dataset_100_resized\Abrus_precatorius\hand\Abrus_precatorius_70.jpg,Abrus_precatorius,0,sub,hand
D:\Homework\NC\bigplants_dataset_100_resized\Crinum_asiaticum\flower\Crinum_asiaticum_51.jpg,Crinum_asiaticum,48,sub,flower
D:\Homework\NC\bigplants_dataset_100_resized\Calotropis_gigantea\hand\Calotropis_gigantea_126.jpg,Calotropis_gigantea,35,sub,hand
D:\Homework\NC\bigplants_dataset_100_resized\Hibiscus_rosa-sinensis\flower\Hibiscus_rosa-sinensis_49.jpg,Hibiscus_rosa-sinensis,66,sub,flower
D:\Homework\NC\bigplants_dataset_100_resized\Hibiscus_rosa-sinensis\flower\Hibiscus_rosa-sinensis_137.jpg,Hibiscus_rosa-sinensis,66,sub,flower
D:\Homework\NC\bigplants_dataset_100_resized\Coriandrum_sativum\leaf\Coriandrum_sativum_105.jpg,Coriandrum_sativum,47,sub,leaf
D:\Homework\NC\bigplants_dataset_100_resized\Artemisia_absinthium\flower\Artemisia_absinthium_63.jpg,Artemisia_absinthium,25,sub,flower
D:\Homework\NC\bigplants_dataset_100_resized\Lonicera_japonica\flower\Lonicera_japonica_72.jpg,Lonicera_japonica,77,sub,flower
D:\Homework\NC\bigplants_dataset_100_resized\Ageratum_conyzoides\hand\Ageratum_conyzoides_19.jpg,Ageratum_conyzoides,7,sub,hand
D:\Homework\NC\bigplants_dataset_100_resized\Gloriosa_superba\hand\Gloriosa_superba_167.jpg,Gloriosa_superba,64,sub,hand
D:\Homework\NC\bigplants_dataset_100_resized\Brugmansia_suaveolens\leaf\Brugmansia_suaveolens_157.jpg,Brugmansia_suaveolens,32,sub,leaf
D:\Homework\NC\bigplants_dataset_100_resized\Paeonia_lactiflora\flower\Paeonia_lactiflora_100.jpg,Paeonia_lactiflora,88,sub,flower
D:\Homework\NC\bigplants_dataset_100_resized\Cerbera_odollam\leaf\Cerbera_odollam_99.jpg,Cerbera_odollam,41,sub,leaf
D:\Homework\NC\bigplants_dataset_100_resized\Brugmansia_suaveolens\leaf\Brugmansia_suaveolens_155.jpg,Brugmansia_suaveolens,32,sub,leaf
D:\Homework\NC\bigplants_dataset_100_resized\Aegle_marmelos\fruit\Aegle_marmelos_55.jpg,Aegle_marmelos,3,sub,fruit
D:\Homework\NC\bigplants_dataset_100_resized\Cassia_fistula\hand\Cassia_fistula_98.jpg,Cassia_fistula,38,sub,hand
D:\Homework\NC\bigplants_dataset_100_resized\Mangifera_indica\fruit\Mangifera_indica_103.jpg,Mangifera_indica,78,sub,fruit
D:\Homework\NC\bigplants_dataset_100_resized\Foeniculum_vulgare\hand\Foeniculum_vulgare_81.jpg,Foeniculum_vulgare,62,sub,hand
D:\Homework\NC\bigplants_dataset_100_resized\Agave_americana\hand\Agave_americana_96.jpg,Agave_americana,6,sub,hand
D:\Homework\NC\bigplants_dataset_100_resized\Blumea_balsamifera\flower\Blumea_balsamifera_52.jpg,Blumea_balsamifera,30,sub,flower
D:\Homework\NC\bigplants_dataset_100_resized\Mimosa_pudica\Mimosa_pudica_1.jpg,Mimosa_pudica,82,available,available
D:\Homework\NC\bigplants_dataset_100_resized\Acanthopanax_trifoliatus\Acanthopanax_trifoliatus_31.jpg,Acanthopanax_trifoliatus,1,available,available
D:\Homework\NC\bigplants_dataset_100_resized\Alocasia_macrorrhizos\leaf\Alocasia_macrorrhizos_65.jpg,Alocasia_macrorrhizos,12,sub,leaf
D:\Homework\NC\bigplants_dataset_100_resized\Brugmansia_suaveolens\flower\Brugmansia_suaveolens_89.jpg,Brugmansia_suaveolens,32,sub,flower
D:\Homework\NC\bigplants_dataset_100_resized\Eclipta_prostrata\hand\Eclipta_prostrata_129.jpg,Eclipta_prostrata,57,sub,hand
D:\Homework\NC\bigplants_dataset_100_resized\Pogostemon_cablin\leaf\Pogostemon_cablin_70.jpg,Pogostemon_cablin,95,sub,leaf
D:\Homework\NC\bigplants_dataset_100_resized\Blumea_balsamifera\hand\Blumea_balsamifera_81.jpg,Blumea_balsamifera,30,sub,hand
D:\Homework\NC\bigplants_dataset_100_resized\Arisaema_franchetianum\leaf\Arisaema_franchetianum_107.jpg,Arisaema_franchetianum,24,sub,leaf
D:\Homework\NC\bigplants_dataset_100_resized\Euphorbia_hirta\hand\Euphorbia_hirta_106.jpg,Euphorbia_hirta,59,sub,hand
D:\Homework\NC\bigplants_dataset_100_resized\Kalanchoe_pinnata\flower\Kalanchoe_pinnata_66.jpg,Kalanchoe_pinnata,72,sub,flower
D:\Homework\NC\bigplants_dataset_100_resized\Acanthopanax_trifoliatus\hand\Acanthopanax_trifoliatus_78.jpg,Acanthopanax_trifoliatus,1,sub,hand
D:\Homework\NC\bigplants_dataset_100_resized\Aloe_vera\leaf\Aloe_vera_93.jpg,Aloe_vera,13,sub,leaf
D:\Homework\NC\bigplants_dataset_100_resized\Cassia_fistula\Cassia_fistula_3.jpg,Cassia_fistula,38,available,available
D:\Homework\NC\bigplants_dataset_100_resized\Euphorbia_hirta\hand\Euphorbia_hirta_127.jpg,Euphorbia_hirta,59,sub,hand
D:\Homework\NC\bigplants_dataset_100_resized\Datura_stramonium\flower\Datura_stramonium_90.jpg,Datura_stramonium,54,sub,flower
D:\Homework\NC\bigplants_dataset_100_resized\Angelica_sinensis\hand\Angelica_sinensis_34.jpg,Angelica_sinensis,18,sub,hand
D:\Homework\NC\bigplants_dataset_100_resized\Orthosiphon_aristatus\flower\Orthosiphon_aristatus_79.jpg,Orthosiphon_aristatus,87,sub,flower
D:\Homework\NC\bigplants_dataset_100_resized\Camellia_japonica\flower\Camellia_japonica_123.jpg,Camellia_japonica,36,sub,flower
D:\Homework\NC\bigplants_dataset_100_resized\Crinum_asiaticum\fruit\Crinum_asiaticum_74.jpg,Crinum_asiaticum,48,sub,fruit
D:\Homework\NC\bigplants_dataset_100_resized\Eclipta_prostrata\flower\Eclipta_prostrata_81.jpg,Eclipta_prostrata,57,sub,flower
D:\Homework\NC\bigplants_dataset_100_resized\Zingiber_zerumbet\leaf\Zingiber_zerumbet_146.jpg,Zingiber_zerumbet,99,sub,leaf
D:\Homework\NC\bigplants_dataset_100_resized\Centella_asiatica\hand\Centella_asiatica_82.jpg,Centella_asiatica,40,sub,hand
D:\Homework\NC\bigplants_dataset_100_resized\Cissampelos_pareira\fruit\Cissampelos_pareira_44.jpg,Cissampelos_pareira,43,sub,fruit
D:\Homework\NC\bigplants_dataset_100_resized\Artemisia_lactiflora\hand\Artemisia_lactiflora_148.jpg,Artemisia_lactiflora,27,sub,hand
D:\Homework\NC\bigplants_dataset_100_resized\Crinum_latifolium\hand\Crinum_latifolium_92.jpg,Crinum_latifolium,49,sub,hand
D:\Homework\NC\bigplants_dataset_100_resized\Lagerstroemia_indica\leaf\Lagerstroemia_indica_101.jpg,Lagerstroemia_indica,73,sub,leaf
D:\Homework\NC\bigplants_dataset_100_resized\Momordica_charantia\fruit\Momordica_charantia_106.jpg,Momordica_charantia,83,sub,fruit
D:\Homework\NC\bigplants_dataset_100_resized\Amomum_villosum\Amomum_villosum_22.jpg,Amomum_villosum,15,available,available
D:\Homework\NC\bigplants_dataset_100_resized\Lawsonia_inermis\flower\Lawsonia_inermis_86.jpg,Lawsonia_inermis,75,sub,flower
D:\Homework\NC\bigplants_dataset_100_resized\Matricaria_chamomilla\hand\Matricaria_chamomilla_139.jpg,Matricaria_chamomilla,80,sub,hand
D:\Homework\NC\bigplants_dataset_100_resized\Cerbera_odollam\flower\Cerbera_odollam_43.jpg,Cerbera_odollam,41,sub,flower
D:\Homework\NC\bigplants_dataset_100_resized\Persea_americana\fruit\Persea_americana_84.jpg,Persea_americana,90,sub,fruit
D:\Homework\NC\bigplants_dataset_100_resized\Catharanthus_roseus\flower\Catharanthus_roseus_71.jpg,Catharanthus_roseus,39,sub,flower
D:\Homework\NC\bigplants_dataset_100_resized\Houttuynia_cordata\Houttuynia_cordata_39.jpg,Houttuynia_cordata,67,available,available
D:\Homework\NC\bigplants_dataset_100_resized\Nerium_oleander\Nerium_oleander_23.jpg,Nerium_oleander,85,available,available
D:\Homework\NC\bigplants_dataset_100_resized\Foeniculum_vulgare\Foeniculum_vulgare_19.jpg,Foeniculum_vulgare,62,available,available
D:\Homework\NC\bigplants_dataset_100_resized\Mentha_arvensis\leaf\Mentha_arvensis_72.jpg,Mentha_arvensis,81,sub,leaf
D:\Homework\NC\bigplants_dataset_100_resized\Acorus_calamus\hand\Acorus_calamus_75.jpg,Acorus_calamus,2,sub,hand
D:\Homework\NC\bigplants_dataset_100_resized\Aegle_marmelos\hand\Aegle_marmelos_89.jpg,Aegle_marmelos,3,sub,hand
D:\Homework\NC\bigplants_dataset_100_resized\Phytolacca_americana\Phytolacca_americana_23.jpg,Phytolacca_americana,91,available,available
D:\Homework\NC\bigplants_dataset_100_resized\Eclipta_prostrata\flower\Eclipta_prostrata_39.jpg,Eclipta_prostrata,57,sub,flower
D:\Homework\NC\bigplants_dataset_100_resized\Coccinia_grandis\flower\Coccinia_grandis_67.jpg,Coccinia_grandis,45,sub,flower
D:\Homework\NC\bigplants_dataset_100_resized\Garcinia_mangostana\fruit\Garcinia_mangostana_48.jpg,Garcinia_mangostana,63,sub,fruit
D:\Homework\NC\bigplants_dataset_100_resized\Aesculus_assamica\flower\Aesculus_assamica_71.jpg,Aesculus_assamica,4,sub,flower
D:\Homework\NC\bigplants_dataset_100_resized\Lagerstroemia_indica\flower\Lagerstroemia_indica_85.jpg,Lagerstroemia_indica,73,sub,flower
D:\Homework\NC\bigplants_dataset_100_resized\Ageratum_conyzoides\hand\Ageratum_conyzoides_37.jpg,Ageratum_conyzoides,7,sub,hand
D:\Homework\NC\bigplants_dataset_100_resized\Datura_stramonium\flower\Datura_stramonium_63.jpg,Datura_stramonium,54,sub,flower
D:\Homework\NC\bigplants_dataset_100_resized\Phytolacca_americana\flower\Phytolacca_americana_57.jpg,Phytolacca_americana,91,sub,flower
D:\Homework\NC\bigplants_dataset_100_resized\Allamanda_cathartica\hand\Allamanda_cathartica_73.jpg,Allamanda_cathartica,9,sub,hand
D:\Homework\NC\bigplants_dataset_100_resized\Cymbopogon_citratus\hand\Cymbopogon_citratus_92.jpg,Cymbopogon_citratus,52,sub,hand
D:\Homework\NC\bigplants_dataset_100_resized\Artemisia_absinthium\hand\Artemisia_absinthium_144.jpg,Artemisia_absinthium,25,sub,hand
D:\Homework\NC\bigplants_dataset_100_resized\Aegle_marmelos\fruit\Aegle_marmelos_58.jpg,Aegle_marmelos,3,sub,fruit
D:\Homework\NC\bigplants_dataset_100_resized\Cocos_nucifera\hand\Cocos_nucifera_132.jpg,Cocos_nucifera,46,sub,hand
D:\Homework\NC\bigplants_dataset_100_resized\Kalanchoe_pinnata\flower\Kalanchoe_pinnata_51.jpg,Kalanchoe_pinnata,72,sub,flower
D:\Homework\NC\bigplants_dataset_100_resized\Datura_stramonium\flower\Datura_stramonium_94.jpg,Datura_stramonium,54,sub,flower
D:\Homework\NC\bigplants_dataset_100_resized\Gloriosa_superba\flower\Gloriosa_superba_149.jpg,Gloriosa_superba,64,sub,flower
D:\Homework\NC\bigplants_dataset_100_resized\Artemisia_japonica\leaf\Artemisia_japonica_126.jpg,Artemisia_japonica,26,sub,leaf
D:\Homework\NC\bigplants_dataset_100_resized\Annona_muricata\flower\Annona_muricata_69.jpg,Annona_muricata,19,sub,flower
D:\Homework\NC\bigplants_dataset_100_resized\Calotropis_gigantea\fruit\Calotropis_gigantea_98.jpg,Calotropis_gigantea,35,sub,fruit
D:\Homework\NC\bigplants_dataset_100_resized\Allium_sativum\Allium_sativum_11.jpg,Allium_sativum,11,available,available
D:\Homework\NC\bigplants_dataset_100_resized\Agave_americana\flower\Agave_americana_34.jpg,Agave_americana,6,sub,flower
D:\Homework\NC\bigplants_dataset_100_resized\Artemisia_lactiflora\hand\Artemisia_lactiflora_172.jpg,Artemisia_lactiflora,27,sub,hand
D:\Homework\NC\bigplants_dataset_100_resized\Annona_squamosa\fruit\Annona_squamosa_71.jpg,Annona_squamosa,21,sub,fruit
D:\Homework\NC\bigplants_dataset_100_resized\Boesenbergia_rotunda\flower\Boesenbergia_rotunda_44.jpg,Boesenbergia_rotunda,31,sub,flower
D:\Homework\NC\bigplants_dataset_100_resized\Coriandrum_sativum\leaf\Coriandrum_sativum_114.jpg,Coriandrum_sativum,47,sub,leaf
D:\Homework\NC\bigplants_dataset_100_resized\Agapanthus_africanus\Agapanthus_africanus_24.jpg,Agapanthus_africanus,5,available,available
D:\Homework\NC\bigplants_dataset_100_resized\Cocos_nucifera\fruit\Cocos_nucifera_64.jpg,Cocos_nucifera,46,sub,fruit
D:\Homework\NC\bigplants_dataset_100_resized\Artemisia_japonica\hand\Artemisia_japonica_63.jpg,Artemisia_japonica,26,sub,hand
D:\Homework\NC\bigplants_dataset_100_resized\Artemisia_absinthium\hand\Artemisia_absinthium_123.jpg,Artemisia_absinthium,25,sub,hand
D:\Homework\NC\bigplants_dataset_100_resized\Zingiber_zerumbet\flower\Zingiber_zerumbet_53.jpg,Zingiber_zerumbet,99,sub,flower
D:\Homework\NC\bigplants_dataset_100_resized\Areca_catechu\hand\Areca_catechu_127.jpg,Areca_catechu,23,sub,hand
D:\Homework\NC\bigplants_dataset_100_resized\Digitalis_purpurea\Digitalis_purpurea_26.jpg,Digitalis_purpurea,56,available,available
D:\Homework\NC\bigplants_dataset_100_resized\Tamarindus_indica\leaf\Tamarindus_indica_86.jpg,Tamarindus_indica,98,sub,leaf
D:\Homework\NC\bigplants_dataset_100_resized\Caladium_bicolor\leaf\Caladium_bicolor_140.jpg,Caladium_bicolor,33,sub,leaf
D:\Homework\NC\bigplants_dataset_100_resized\Pogostemon_cablin\flower\Pogostemon_cablin_48.jpg,Pogostemon_cablin,95,sub,flower
D:\Homework\NC\bigplants_dataset_100_resized\Psidium_guajava\fruit\Psidium_guajava_61.jpg,Psidium_guajava,96,sub,fruit
D:\Homework\NC\bigplants_dataset_100_resized\Brugmansia_suaveolens\leaf\Brugmansia_suaveolens_158.jpg,Brugmansia_suaveolens,32,sub,leaf
D:\Homework\NC\bigplants_dataset_100_resized\Gymnema_sylvestre\hand\Gymnema_sylvestre_24.jpg,Gymnema_sylvestre,65,sub,hand
D:\Homework\NC\bigplants_dataset_100_resized\Dieffenbachia_seguine\Dieffenbachia_seguine_94.jpg,Dieffenbachia_seguine,55,available,available
D:\Homework\NC\bigplants_dataset_100_resized\Morus_alba\hand\Morus_alba_144.jpg,Morus_alba,84,sub,hand
D:\Homework\NC\bigplants_dataset_100_resized\Lantana_camara\flower\Lantana_camara_94.jpg,Lantana_camara,74,sub,flower
D:\Homework\NC\bigplants_dataset_100_resized\Cycas_balansae\hand\Cycas_balansae_22.jpg,Cycas_balansae,51,sub,hand
D:\Homework\NC\bigplants_dataset_100_resized\Acanthopanax_trifoliatus\Acanthopanax_trifoliatus_27.jpg,Acanthopanax_trifoliatus,1,available,available
D:\Homework\NC\bigplants_dataset_100_resized\Boesenbergia_rotunda\Boesenbergia_rotunda_13.jpg,Boesenbergia_rotunda,31,available,available
D:\Homework\NC\bigplants_dataset_100_resized\Manihot_esculenta\flower\Manihot_esculenta_75.jpg,Manihot_esculenta,79,sub,flower
D:\Homework\NC\bigplants_dataset_100_resized\Annona_squamosa\hand\Annona_squamosa_153.jpg,Annona_squamosa,21,sub,hand
D:\Homework\NC\bigplants_dataset_100_resized\Cocos_nucifera\fruit\Cocos_nucifera_77.jpg,Cocos_nucifera,46,sub,fruit
